  ,,,,,,
  SlNo,Symbol,Date,Traded Volume,High Price,Low Price,Market Price
1,TBL,23/04/2020,59480,37,37,37
2,TBL,24/04/2020,1000,37.9,37.9,37
3,TBL,29/04/2020,3000,37.9,37.9,37.9
4,TBL,30/04/2020,2005,38.84,38.84,37.9
5,TBL,1/5/2020,10800,38,38,38
6,TBL,4/5/2020,515,38.84,38.84,38
7,TBL,5/5/2020,3106,38.84,38.84,38.84
8,TBL,11/5/2020,300,38.4,38.4,38.84
9,TBL,13/05/2020,4843,38,38,38
10,TBL,20/05/2020,100,38.95,38.95,38
11,TBL,21/05/2020,593,38.91,38.91,38
12,TBL,25/05/2020,450,38,38,38
13,TBL,28/05/2020,1081,38.95,37.51,38
14,TBL,1/6/2020,512,38.95,38,38
15,TBL,2/6/2020,100,38.95,38.95,38
16,TBL,3/6/2020,25,38.95,38.95,38
17,TBL,4/6/2020,250,38.95,38.95,38
18,TBL,8/6/2020,2458,38,38,38
19,TBL,9/6/2020,1835,38,38,38
20,TBL,10/6/2020,550,38,38,38
21,TBL,11/6/2020,1484,37.5,37.5,38
22,TBL,15/06/2020,100,38.5,38.5,38
23,TBL,16/06/2020,1200,37.5,37.5,38
24,TBL,17/06/2020,129,38.5,38.5,38
25,TBL,18/06/2020,1,38.5,38.5,38
26,TBL,22/06/2020,770,38.5,38.5,38
27,TBL,24/06/2020,385,38.95,38.5,38
28,TBL,25/06/2020,733,38.95,38.95,38
29,TBL,26/06/2020,6640,38.95,38.95,38.95
30,TBL,29/06/2020,3000,38.95,38.95,38.95
31,TBL,2/7/2020,100,39.5,39.5,38.95
32,TBL,3/7/2020,70,39.5,39.5,38.95
33,TBL,6/7/2020,2601,39.5,39.5,39.5
34,TBL,7/7/2020,3001,39.5,38,39.5
35,TBL,9/7/2020,250,39.5,39.5,39.5
36,TBL,10/7/2020,11465,39.5,39.5,39.5
37,TBL,13/07/2020,603,39.5,39.5,39.5
38,TBL,14/07/2020,12951,39.5,39,39.5
39,TBL,15/07/2020,450,39.5,39.5,39
40,TBL,16/07/2020,530,39.5,39.5,39
41,TBL,20/07/2020,215,39.5,39.5,39
42,TBL,21/07/2020,1000,39.5,39.5,39
43,TBL,23/07/2020,1267,39,39,39
44,TBL,27/07/2020,100,39.5,39.5,39
45,TBL,29/07/2020,1130,39.16,39.15,39
46,TBL,30/07/2020,340,39.5,39.15,39
47,TBL,31/07/2020,1613,39.15,38.01,39
48,TBL,3/8/2020,100,39.5,39.5,39
49,TBL,6/8/2020,6223,38.3,38.01,39
50,TBL,7/8/2020,2383,39.5,38.01,38.01
51,TBL,10/8/2020,400,38.5,38.5,38.01
52,TBL,11/8/2020,100,38.5,38.5,38.01
53,TBL,12/8/2020,2360,39,38.55,38.01
54,TBL,13/08/2020,1000,39,39,38.01
55,TBL,14/08/2020,2250,39.5,39,38.01
56,TBL,25/08/2020,15,39.5,39.5,38.01
57,TBL,26/08/2020,125,39,39,38.01
58,TBL,28/08/2020,13000,39,39,38.01
59,TBL,31/08/2020,600,40,39,39
60,TBL,1/9/2020,100,39,39,39
61,TBL,2/9/2020,4000,39,39,39
62,TBL,9/9/2020,500,39,39,39
63,TBL,11/9/2020,4765,39,39,39
64,TBL,14/09/2020,2706,38.35,38.3,39
65,TBL,15/09/2020,1700,39,38.5,39
66,TBL,16/09/2020,7900,38.5,38.5,39
67,TBL,17/09/2020,2185,38.51,38.51,38.5
68,TBL,21/09/2020,4000,39,39,38.5
69,TBL,24/09/2020,370,39,39,39
70,TBL,25/09/2020,28603,39,38.8,39
71,TBL,29/09/2020,46530,40,39.5,38.8
72,TBL,30/09/2020,250,39,39,39.5
73,TBL,1/10/2020,200,39.5,39.5,39.5
74,TBL,2/10/2020,100,41,41,39.5
75,TBL,5/10/2020,2567,41,39.14,39.5
76,TBL,6/10/2020,11,39.5,39.5,39.5
77,TBL,7/10/2020,617,39.5,39.02,39.5
78,TBL,8/10/2020,1180,39.5,39.5,39.5
79,TBL,12/10/2020,668,39.9,39.02,39.5
80,TBL,13/10/2020,2280,39.02,39,39.5
81,TBL,14/10/2020,2480,39,39,39.5
82,TBL,15/10/2020,320,38.6,38.6,39.5
83,TBL,16/10/2020,3206,38.61,38.61,39.5
84,TBL,19/10/2020,1050,39,38.95,38.61
85,TBL,20/10/2020,2410,39.9,39,38.61
86,TBL,21/10/2020,2475,40,40,38.61
87,TBL,22/10/2020,1801,39,39,38.61
88,TBL,23/10/2020,505,40,40,38.61
89,TBL,27/10/2020,245,40,40,38.61
90,TBL,29/10/2020,11200,40.5,40.5,40.5
91,TBL,2/11/2020,2469,41,39.5,40.5
92,TBL,3/11/2020,100,40,40,40.5
93,TBL,4/11/2020,17168,40.5,39.5,40.5
94,TBL,5/11/2020,1190,39,39,40
95,TBL,6/11/2020,700,40,40,40
96,TBL,9/11/2020,10,40,40,40
97,TBL,10/11/2020,399,40,39.5,40
98,TBL,12/11/2020,1700,40,39,40
99,TBL,16/11/2020,2542,41,40,40
100,TBL,17/11/2020,310,40.5,39,40
101,TBL,18/11/2020,100,40,40,40
102,TBL,19/11/2020,100,41,41,40
103,TBL,23/11/2020,1050,39.8,39.01,40
104,TBL,25/11/2020,350,39,39,40
105,TBL,26/11/2020,4822,39.8,39.8,40
106,TBL,27/11/2020,550,39.8,39.8,39.8
107,TBL,30/11/2020,400,39.01,39.01,39.8
108,TBL,1/12/2020,100,39.01,39.01,39.8
109,TBL,3/12/2020,2700,40,39,39.8
110,TBL,8/12/2020,333,39.05,39.05,39.8
111,TBL,9/12/2020,2670,40,39,39.8
112,TBL,10/12/2020,601,39.01,39,39.8
113,TBL,11/12/2020,4935,40,40,39.8
114,TBL,14/12/2020,3296,40,40,40
115,TBL,15/12/2020,10,40,40,40
116,TBL,16/12/2020,73669,39.1,39.1,39.1
117,TBL,18/12/2020,495,40,40,39.1
118,TBL,24/12/2020,120,39.12,39.12,39.1
119,TBL,25/12/2020,100,39.5,39.5,39.1
120,TBL,29/12/2020,380,39,39,39.1
121,TBL,30/12/2020,100,39.5,39.5,39.1
122,TBL,1/1/2021,16,40,40,39.1
123,TBL,5/1/2021,653,40,40,39.1
124,TBL,6/1/2021,1200,40,40,39.1
125,TBL,7/1/2021,60,40,40,39.1
126,TBL,18/01/2021,400,39.1,39.1,39.1
127,TBL,20/01/2021,1587,39.1,39.1,39.1
128,TBL,28/01/2021,592,41,41,39.1
129,TBL,3/2/2021,126,40.95,40.95,39.1
130,TBL,4/2/2021,1000,41,41,39.1
131,TBL,9/2/2021,871,40,40,39.1
132,TBL,10/2/2021,8000,40.5,40.5,39.1
133,TBL,15/02/2021,444,40,40,40.5
134,TBL,16/02/2021,1800,42.5,42.5,40.5
135,TBL,17/02/2021,148,42.5,42.5,40.5
136,TBL,18/02/2021,150,42.5,42.5,40.5
137,TBL,2/3/2021,481,40,39.5,40.5
138,TBL,4/3/2021,30,42,42,40.5
139,TBL,5/3/2021,476,42,42,40.5
140,TBL,8/3/2021,172,42,41,40.5
141,TBL,9/3/2021,3000,41.89,40,40.5
142,TBL,10/3/2021,7072,40,39.5,40.5
143,TBL,15/03/2021,257,41,40.5,40
144,TBL,22/03/2021,200,40.5,40.5,40
145,TBL,23/03/2021,2560,40,39,40
146,TBL,24/03/2021,21,40,40,40
147,TBL,25/03/2021,200,39.5,39.5,40
148,TBL,26/03/2021,1790,39.5,39.5,40
149,TBL,29/03/2021,210,41,40,40
150,TBL,30/03/2021,200,40,40,40
151,TBL,31/03/2021,100,41,41,40
152,TBL,1/4/2021,50,41,41,40
153,TBL,2/4/2021,300,41,39.5,40
154,TBL,5/4/2021,500,41,41,40
155,TBL,6/4/2021,500,39.85,39.85,40
156,TBL,7/4/2021,406,41,39.85,40
157,TBL,8/4/2021,70,41,41,40
158,TBL,9/4/2021,2000,40,39,40
159,TBL,12/4/2021,115,40.5,40.5,40
160,TBL,16/04/2021,10000,40,40,40
161,TBL,19/04/2021,400,39,39,40
162,TBL,20/04/2021,38222,40,40,40
163,TBL,26/04/2021,250,40,40,40
164,TBL,27/04/2021,700,40.1,40.1,40
165,TBL,29/04/2021,1783,40.2,40,40
166,TBL,4/5/2021,15,40.5,40.5,40
167,TBL,5/5/2021,4248,40.2,40,40
168,TBL,12/5/2021,2476,40.5,40,40
169,TBL,13/05/2021,290,40.1,40.1,40
170,TBL,17/05/2021,330,41,41,40
171,TBL,18/05/2021,917,42,41,40
172,TBL,19/05/2021,400,41,41,40
173,TBL,20/05/2021,451,41,41,40
174,TBL,24/05/2021,1238,41.5,40,40
175,TBL,25/05/2021,375,41,41,40
176,TBL,27/05/2021,1118,41.75,41,40
177,TBL,28/05/2021,1001,41,41,40
178,TBL,31/05/2021,6383,42,41,40
179,TBL,1/6/2021,500,42,42,42
180,TBL,3/6/2021,183,43,43,42
181,TBL,4/6/2021,1117,43,41.1,42
182,TBL,10/6/2021,2000,41.5,41.5,42
183,TBL,14/06/2021,166,42,42,42
184,TBL,16/06/2021,1086,43.5,43,42
185,TBL,17/06/2021,3914,44,44,42
186,TBL,18/06/2021,2038,46.2,44.5,44
187,TBL,21/06/2021,629,44.5,44.5,44
188,TBL,22/06/2021,1195,46,45,44
189,TBL,23/06/2021,1050,46,46,44
190,TBL,24/06/2021,92,46,46,44
191,TBL,28/06/2021,1969,46,46,44
192,TBL,29/06/2021,2432,46,46,44
193,TBL,30/06/2021,80,46.2,46.2,44
194,TBL,1/7/2021,50,46.2,46.2,44
195,TBL,5/7/2021,1408,46,46,44
196,TBL,6/7/2021,100,46.2,46.2,44
197,TBL,8/7/2021,200,46.2,45.5,44
198,TBL,16/07/2021,300,46.2,46.2,44
199,TBL,20/07/2021,100,46,46,44
200,TBL,21/07/2021,633,46,46,44
201,TBL,22/07/2021,5741,46,45,44
202,TBL,23/07/2021,115,48.3,48,46
203,TBL,26/07/2021,2114,48,48,46
204,TBL,27/07/2021,648,48,48,46
205,TBL,28/07/2021,60,48,48,46
206,TBL,29/07/2021,464,48,47.5,46
207,TBL,30/07/2021,544,48,48,46
